#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
48,"My Love Mine All Mine","Mitski",99,114,"brooklyn indie, pov: indie","Rock, Pop","The Land Is Inhospitable and So Are We",2023-09-15,02:17,50,31,87,14,12,0,10,-15,A Major,4,2023-11-26,3vkCueOmm7xQDoJ17W1Pm3,"Dead Oceans",11B,https://p.scdn.co/mp3-preview/2f90c9a6a2b6e38554d3bc3cf7512c2c70ac67b9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485134f21d3047d85440dfa37f10
49,"Say Yes To Heaven","Lana Del Rey",90,100,"art pop, pop","Pop","Say Yes To Heaven",2023-05-19,03:29,49,35,71,9,17,0,10,-12,F#/G♭ Minor,4,2023-05-19,6GGtHZgBycCgGBUhZo81xe,"Polydor Records",11A,,https://i.scdn.co/image/ab67616d00004851aa27708d07f49c82ff0d0dae
50,"Nobody Gets Me","SZA",85,100,"pop, r&b, rap","Pop, R&B, Hip Hop","SOS",2022-12-09,03:00,36,28,81,0,28,0,10,-8,G Major,3,2023-01-07,5Y35SjAfXjjG0sFQ3KOxmm,"Top Dawg Entertainment/RCA Records",9B,https://p.scdn.co/mp3-preview/36cfe8fbfb78aa38ca3b222c4b9fc88cda992841?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485170dbc9f47669d120ad874ec1
51,"All Of The Girls You Loved Before","Taylor Swift",84,96,"pop","Pop","All Of The Girls You Loved Before",2019-08-23,03:41,72,47,71,0,40,0,10,-10,D Major,3,2023-03-18,4P9Q0GojKVXpRTJCaL3kyy,"Taylor Swift",10B,,https://i.scdn.co/image/ab67616d000048518481d8f15859aa5bae75ee17
52,"Single Soon","Selena Gomez",85,105,"pop, post-teen pop","Pop","Single Soon",2023-08-25,02:51,61,57,1,0,75,0,10,-6,D Major,4,2023-08-25,6iF4RgIjDvDqyW13PezSj3,"Interscope Records",10B,,https://i.scdn.co/image/ab67616d00004851fabd32dd9cefca8714c0ed41
53,"Made You Look","Meghan Trainor",85,145,"hip pop, pop","Pop","Takin' It Back",2022-10-21,02:14,84,53,35,0,88,0,0,-4,A#/B♭ Major,4,2023-01-07,0QHEIqNKsMoOY5urbzN48u,"Epic",6B,https://p.scdn.co/mp3-preview/f0eb89945aa820c0f30b5e97f8e2cab42d9f0a99?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048511a4f1ada93881da4ca8060ff
54,"As It Was","Harry Styles",95,174,"pop","Pop","Harry's House",2022-05-20,02:47,52,73,34,0,66,0,30,-5,F#/G♭ Minor,4,2023-01-07,4Dvkj6JhhA12EX05fT7y2e,"Columbia",11A,https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048512e8ed79e177ff6011076f5f0
55,"Until I Found You (with Em Beihold) - Em Beihold Version","Stephen Sanchez,Em Beihold",90,101,"gen z singer-songwriter, alt z","Pop","Until I Found You (Em Beihold Version)",2022-04-22,02:56,55,55,78,0,34,0,20,-5,A#/B♭ Major,3,2023-01-07,1Y3LN4zO1Edc2EluIoSPJN,"Republic Records",6B,,https://i.scdn.co/image/ab67616d000048512bf0876d42b90a8852ad6244
56,"Strangers","Kenya Grace",96,170,"singer-songwriter pop","Pop","Strangers",2023-09-01,02:52,63,52,70,0,42,0,20,-8,B Minor,4,2023-09-16,5mjYQaktjmjcMKcUIcqz4s,"Warner Records/Major Recordings",10A,https://p.scdn.co/mp3-preview/f8e667575db490b61ccc4d0948a6be922cfe1c5e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514756c2e9ae436437cd75e9f3
57,"Standing Next to You","Jung Kook",97,106,"k-pop","Pop","GOLDEN",2023-11-03,03:26,71,81,4,0,82,10,30,-4,D Minor,4,2023-11-03,2KslE17cAJNHTsI2MI0jb2,"BIGHIT MUSIC",7A,https://p.scdn.co/mp3-preview/b1cac49f0f6043eae3a0c0557fe16a9579fbc519?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851741fd4807f442af3f7359316
