#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,Spotify Track Img,Song Preview,
32,So Good At Being in Trouble,Unknown Mortal Orchestra,1,104,"art pop, indie rock, indie soul, indietronica, kiwi rock, neo-psychedelic, portland hip hop, psychedelic pop","Pop, Rock, R&B, Folk/Acoustic, Hip Hop",II,2/5/2013,3:50,83,44,4,88,59,0,10,-10,C Major,4,4/18/2021,5VarZFY00sO54HErJ3TPCI,Jagjaguwar,8B,,https://i.scdn.co/image/ab67616d00004851d4c801e232fceb86e9dc539a,
33,Work This Time,King Gizzard & The Lizard Wizard,0,114,"australian psych, double drumming, microtonal, neo-psychedelic","Metal, Rock, Classical, Folk/Acoustic",Oddments,3/7/2014,4:36,53,49,15,10,54,10,10,-6,C♯/D♭ Minor,1,4/18/2021,4VtNDouDk6gLgopBhp9di6,Flightless Records,12A,,https://i.scdn.co/image/ab67616d00004851250de27b0e29b2341a4d82bf,
34,Sense,King Gizzard & The Lizard Wizard,48,202,"australian psych, double drumming, microtonal, neo-psychedelic","Metal, Rock, Classical, Folk/Acoustic",Paper Mâché Dream Balloon (Original + Instrumental),11/13/2015,3:30,54,60,55,27,71,20,10,-9,F Minor,4,4/18/2021,1Kbkb3RaIxw8M96Sql65ST,Heavenly Recordings,4A,https://p.scdn.co/mp3-preview/c6a317507d9a12714c0edb9feef78857dc753843?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514e9e9343908d073231227324,
35,My Body Is a Cage,Arcade Fire,60,81,"alternative rock, baroque pop, canadian indie, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock","Rock, Pop",Neon Bible,2007-00-00,4:47,30,50,32,6,31,0,20,-9,C Minor,4,5/16/2021,1rOlTL4pKQ9Y1fURua4AJR,Sony Music CG,5A,https://p.scdn.co/mp3-preview/9b5db8e699e8b7033ed4a18fd65a7e8e4147b44e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519e0e42aa866e5fa167b19608,
36,Redbone,Childish Gambino,7,160,"atl hip hop, hip hop, rap",Hip Hop,Awaken," My Love!""""",12/2/2016,5:26,74,34,17,1,58,10,10,-11,C♯/D♭ Major,4,7/5/2021,0wXuerDYiBnERgIpbb3JBR,Glassnote Entertainment Group LLC,3B,,https://i.scdn.co/image/ab67616d00004851f78c98bbf2b3c9e2a764203e
37,Danser encore,Calogero,48,120,"chanson, french pop","Easy listening, Pop",Pomme C,2007-00-00,3:08,53,34,31,0,36,0,10,-11,G Minor,3,7/5/2021,18yBs7GJqGVlLpmJEdRkim,Universal Music Division Barclay,6A,,https://i.scdn.co/image/ab67616d00004851c4902f060dcae8587d25244f,
38,Intro,alt-J,0,144,"indie rock, indietronica, modern alternative rock, modern rock, rock","Rock, Pop",An Awesome Wave,5/28/2012,2:37,58,79,45,72,29,0,20,-9,B Minor,4,7/5/2021,2RlSIKr5HH7RObrI8IvoUB,Infectious,10A,,https://i.scdn.co/image/ab67616d000048511b6dedfcf8b05b06b6bd002f,
39,"Fire Above, Ice Below",Agalloch,8,132,"atmospheric black metal, atmospheric doom, black metal, blackgaze, cascadian black metal, doom metal, pagan black metal, portland metal, post-metal, usbm, viking metal",Metal,Ashes Against The Grain (Remastered),7/15/2016,10:29,39,84,0,67,16,0,40,-8,G Minor,3,7/5/2021,7fjI2yhHZmTJxDCoUrvQFL,The End Records,6A,,https://i.scdn.co/image/ab67616d00004851e46eb11cdd11b9f821796aa5,
40,Lover Is a Day,Cuco,6,180,"bedroom pop, dream pop",Pop,wannabewithu,7/9/2016,7:36,41,65,4,19,34,0,10,-10,D#/E♭ Major,4,7/30/2021,76tGvMdmFKuiMew33ZNNA9,Cuco,5B,,https://i.scdn.co/image/ab67616d000048513d543b0dfe18c4bae839de3b,
41,Signal to Noise,Frankel,20,135,indie fuzzpop,Pop,Signal to Noise,4/22/2016,3:17,48,33,50,1,18,0,10,-11,A Minor,4,8/10/2021,2RR9qEATozDoUx0hUsgOvb,Peanut Dungeon,8A,https://p.scdn.co/mp3-preview/f81a347102b90791e584dc175b62e9a917e0a5db?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851671614ffaf41ee4faddd1f8a,
