#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
31,"Shine On","R.I.O.,Madcon",0,124,"german dance, norwegian hip hop","Electronic, Hip Hop","Shine On",2019-05-17,03:31,71,82,0,0,67,0,60,-6,F Minor,4,2021-07-05,1IFApWY9RWXU8rvIjXIKyh,"YENİ DÜNYA MÜZİK",4A,,https://i.scdn.co/image/ab67616d000048516145ae5e3ef7d7a29f9abb01
32,"Beggin'","Madcon",0,129,"norwegian hip hop","Hip Hop","Contraband",2011-05-09,03:37,72,80,3,0,39,0,0,-5,E Minor,4,2021-07-05,3fbNKNZLuH8ZStxcVVeORs,"Jive Epic",9A,,https://i.scdn.co/image/ab67616d000048519214ab0403acb370fbff5db8
33,"Don't Worry (with Ray Dalton) - Radio Edit","Madcon,Ray Dalton",72,123,"norwegian hip hop, pop dance","Hip Hop, Electronic","Don't Worry (feat. Ray Dalton)",2015-04-10,03:34,81,70,7,0,73,10,10,-5,G Major,4,2021-07-05,63CSozvYUEudPp12679UVF,"WM Germany",9B,https://p.scdn.co/mp3-preview/7fd5c2ef1e7eef0926582ebe83338a98f3a61421?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ff1831eb17c7a83741be4d1b
34,"Dark Night","The Blasters",51,130,"cowpunk, heartland rock, rockabilly","Rock","Hard Line",1985-00-00,03:51,60,73,1,2,51,0,10,-7,A Major,4,2021-07-05,3dKGK0ALdWHldGJEXpwt3K,"Rhino/Warner Records",11B,https://p.scdn.co/mp3-preview/747a303059a776a2c3823ab16303d2251e3a97a7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851dc621c3013755bd9b23446fb
35,"After Dark","Tito & Tarantula",0,101,"","","Tarantism (Remastered)",2015-04-17,03:44,62,51,28,2,21,0,30,-8,A Major,4,2021-07-05,3fS3ZiDYMRgD6yyF4HKRLI,"It Sounds",11B,,https://i.scdn.co/image/ab67616d00004851c384a0b7626958174d6fdc7b
36,"Blue Monday - 2016 Remaster","New Order",64,130,"alternative rock, dance rock, madchester, new romantic, new wave, permanent wave, post-punk, synthpop, uk post-punk","Rock, Pop","Singles (2016 Remaster)",2005-09-30,07:30,79,70,0,88,86,0,0,-10,C Major,4,2021-07-05,1RSy7B2vfPi84N80QJ6frX,"Rhino/Warner Records",8B,https://p.scdn.co/mp3-preview/cb250216b0325d8a3168db2d234fa4edf451144f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f142205e336ec0af3e1a4eb0
37,"Piano Man","Billy Joel",67,179,"album rock, classic rock, heartland rock, mellow gold, piano rock, rock, singer-songwriter, soft rock","Rock, Folk/Acoustic","The Essential Billy Joel",2001-10-02,05:36,33,47,60,0,43,0,30,-9,C Major,3,2021-07-05,3FCto7hnn1shUyZL42YgfO,"Columbia",8B,https://p.scdn.co/mp3-preview/58ebd5167860afaf6246d239b5ec9dce329c9f97?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851649d4f282653ab8be56f447e
38,"Istanbul (Not Constantinople)","The Four Lads",37,161,"vocal harmony group","Easy listening","16 Most Requested Songs Of The 1950s. Volume One",1989-06-13,02:21,49,38,84,0,87,0,20,-11,C♯/D♭ Major,4,2021-07-05,1HKcy2OX5u86O9M1AOCNDE,"Columbia",3B,https://p.scdn.co/mp3-preview/998c37a925b923ff472e37aa644aa223db0af6ce?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485106f745ef852e2aa01c4c3be4
39,"Supernova","Ansel Elgort",62,140,"post-teen pop, teen pop","Pop","Supernova",2018-01-12,03:11,77,62,6,0,68,10,20,-5,F Minor,4,2021-07-05,2ZIZXWnU52s0C75sPYiwvh,"Island Records",4A,,https://i.scdn.co/image/ab67616d00004851cf814e550f4c4cc2156570b2
40,"Walk Of Life","Dire Straits",1,172,"album rock, classic rock, mellow gold, rock","Rock","Brothers In Arms",1985-05-13,04:09,46,92,41,0,80,10,10,-9,E Major,4,2021-07-05,3Ud6fFep5ZlXzRWw6Sm8no,"EMI",12B,,https://i.scdn.co/image/ab67616d00004851995239a0e35a898037ec4b29
41,"I Was Made For Lovin' You","KISS",84,128,"glam rock, hard rock, rock","Rock","Dynasty",1979-03-23,04:31,77,85,21,0,87,0,0,-6,E Major,4,2021-07-05,07q0QVgO56EorrSGHC48y3,"Casablanca Records",12B,,https://i.scdn.co/image/ab67616d000048514384b6976cadaec272114022
42,"Hey There Delilah","Plain White T's",81,104,"modern rock, neo mellow, neon pop punk, pop punk, pop rock","Rock, Folk/Acoustic, Pop","All That We Needed",2005-01-01,03:52,66,29,87,0,30,0,10,-11,D Major,4,2021-07-05,4RCWB3V8V0dignt99LZ8vH,"Fearless Records",10B,,https://i.scdn.co/image/ab67616d00004851beae6e69d6505fd379ef3081
43,"None Shall Pass","Aesop Rock",0,116,"abstract hip hop, alternative hip hop, conscious hip hop","Hip Hop","None Shall Pass",2007-08-28,04:03,71,68,18,0,57,0,10,-9,C Major,4,2021-07-06,5DJTYOAHZEKjNqXpOwnomi,"Block Block Chop",8B,,https://i.scdn.co/image/ab67616d00004851a76854835bbf81a51deea3a7
44,"Hands High","Krafty Kuts,Chali 2na",0,100,"breakbeat, nu skool breaks, psybreaks, chicago rap, turntablism","Electronic, Hip Hop","Hands High",2017-11-10,02:45,77,93,37,0,83,30,10,-4,A#/B♭ Minor,4,2021-07-06,2VclPijXTY9NirGUYYyxxk,"Instant Vibes",3A,,https://i.scdn.co/image/ab67616d00004851721a23894cfce1e5d1cc6d4e
45,"Sympathy For The Devil - 50th Anniversary Edition","The Rolling Stones",76,116,"album rock, british invasion, classic rock, rock","Rock","Beggars Banquet (50th Anniversary Edition)",1968-12-06,06:18,70,67,52,0,56,20,0,-9,A Major,4,2024-01-18,1Ud6moTC0KyXMq1Oxfien0,"ABKCO Music & Records",11B,,https://i.scdn.co/image/ab67616d0000485144934a06d21864415376f5f2
46,"Seven Nation Army","The White Stripes",88,124,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock","alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock","Elephant",2003-04-01,03:52,74,45,0,12,28,0,30,-8,E Minor,4,2024-01-18,3dPQuX8Gs42Y7b454ybpMR,"Legacy Recordings",9A,https://p.scdn.co/mp3-preview/eca519f0a85862d9510d57d59df557081d375e3a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a69f71a8794e2d867a52f98f
47,"Seven Nation Army","The White Stripes",88,124,"alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock","alternative rock, blues rock, detroit rock, garage rock, modern blues rock, permanent wave, punk blues, rock","Elephant",2003-04-01,03:52,74,45,0,12,28,0,30,-8,E Minor,4,2024-01-18,3dPQuX8Gs42Y7b454ybpMR,"Legacy Recordings",9A,https://p.scdn.co/mp3-preview/eca519f0a85862d9510d57d59df557081d375e3a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851a69f71a8794e2d867a52f98f
48,"Are You Gonna Be My Girl","Jet",79,105,"garage rock, modern rock, pop rock","Rock","Get Born",2003-09-15,03:33,61,95,0,0,54,0,10,-3,D Major,4,2024-01-18,305WCRhhS10XUcH6AEwZk6,"Elektra Records",10B,https://p.scdn.co/mp3-preview/cd8bc93c853849caa21fe05bc4b6f1b097e8aabc?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485176ccf87cba2e754a5138cc23
49,"Take Me Out","Franz Ferdinand",83,105,"alternative rock, dance rock, indie rock, modern rock, rock, scottish rock","Rock","Franz Ferdinand",2004-02-16,03:57,28,66,0,0,53,0,10,-9,E Minor,4,2024-01-18,20I8RduZC2PWMWTDCZuuAN,"Domino Recording Co",9A,https://p.scdn.co/mp3-preview/f91cfdf3dd5f7114cf47f8c8b2567b7a8a76d9ed?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485109a90531b85be7899c3234c4
50,"Should I Stay or Should I Go - Remastered","The Clash",82,113,"alternative rock, permanent wave, punk, rock","Rock","Combat Rock (Remastered)",1982-00-00,03:08,74,84,8,0,82,10,30,-6,D Major,4,2024-01-18,39shmbIHICJ2Wxnk1fPSdz,"Sony Music UK",10B,https://p.scdn.co/mp3-preview/30dfcd239fdb4a9ee277ff3a214a4f6771bd8cb3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485125a4df452a3c42ccc2e9288b
51,"Under Pressure - Remastered 2011","Queen,David Bowie",85,114,"classic rock, glam rock, rock, art rock, permanent wave","Rock","Hot Space (2011 Remaster)",1982-05-03,04:08,67,71,43,0,46,0,10,-8,D Major,4,2024-01-18,2fuCquhmrzHpu5xcA1ci9x,"EMI",10B,,https://i.scdn.co/image/ab67616d00004851d254ca497999ae980a5a38c5
52,"Fortunate Son","Creedence Clearwater Revival",87,133,"album rock, classic rock, country rock, rock, southern rock, swamp rock","Rock","Willy And The Poor Boys (Expanded Edition)",1969-11-02,02:20,64,66,20,1,66,0,10,-8,C Major,4,2024-01-18,4BP3uh0hFLFRb5cjsgLqDh,"Craft Recordings",8B,,https://i.scdn.co/image/ab67616d000048519f39192f9f8ca1c90847b3e5
53,"Black Betty","Ram Jam",74,117,"southern rock","Rock","Ram Jam",1977-06-20,03:58,47,91,2,0,68,10,10,-6,B Minor,4,2024-01-18,6kooDsorCpWVMGc994XjWN,"Epic",10A,https://p.scdn.co/mp3-preview/c2be3d98da62f643e634154e835dae936d79bf90?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fa5dcfc4b1b99a0598224758
54,"Loser","Beck",74,85,"alternative rock, anti-folk, permanent wave, rock","Rock, Folk/Acoustic","Mellow Gold",1994-03-01,03:55,65,61,3,0,79,10,40,-10,D Major,4,2024-01-18,5PntSbMHC1ud6Vvl8x56qd,"DGC",10B,,https://i.scdn.co/image/ab67616d00004851b07e5a0787e609bc1f1270f8
55,"Come On Eileen","Dexys Midnight Runners",79,107,"new romantic, new wave, new wave pop","Rock, Pop","Too Rye Ay",1982-07-22,04:47,45,66,66,0,78,0,20,-7,D Major,4,2024-01-18,3MrWxJaD2AT0W9DjWF64Vm,"Mercury Nashville",10B,,https://i.scdn.co/image/ab67616d000048518bd8adbdc4727d9080240905
56,"Bitter Sweet Symphony - Remastered 2016","The Verve",83,171,"britpop, permanent wave, rock, shoegaze","Pop, Rock","Urban Hymns (Remastered 2016)",1997-09-29,05:57,36,92,3,0,52,0,40,-6,A Major,4,2024-01-18,57iDDD9N9tTWe75x6qhStw,"UMC (Universal Music Catalogue)",11B,,https://i.scdn.co/image/ab67616d00004851707d13d3f87652e737e94d45
57,"Stuck In The Middle With You","Stealers Wheel",80,124,"folk rock","Rock","Stealers Wheel",1972-01-01,03:28,82,57,9,0,96,0,10,-9,G Major,4,2024-01-18,3Vby4nGmtbDo7HDJamOWkT,"UMC (Universal Music Catalogue)",9B,,https://i.scdn.co/image/ab67616d00004851a5ce236c22035a02cf87d4de
58,"Tainted Love","Soft Cell",84,144,"new romantic, new wave, new wave pop, synthpop","Rock, Pop","Non-Stop Erotic Cabaret",1981-00-00,02:33,50,50,46,0,62,0,20,-8,C Minor,4,2024-01-18,0cGG2EouYCEEC3xfa0tDFV,"EMI",5A,,https://i.scdn.co/image/ab67616d0000485149c982dae436bac27c336f45
59,"Baba O'Riley","The Who",79,117,"album rock, british invasion, classic rock, hard rock, rock","Rock","Who's Next (Deluxe Edition)",1971-08-14,05:00,49,72,31,19,15,0,20,-8,F Major,4,2024-01-18,3qiyyUfYe7CRYLucrPmulD,"Polydor Records",7B,,https://i.scdn.co/image/ab67616d00004851fe24dcd263c08c6dd84b6e8c
60,"The Chain - 2004 Remaster","Fleetwood Mac",85,152,"album rock, classic rock, rock, soft rock, yacht rock","Rock","Rumours (Super Deluxe)",1977-02-04,04:30,55,67,1,0,48,0,0,-9,A Major,4,2024-01-18,5e9TFTbltYBg2xThimr0rU,"Rhino/Warner Records",11B,https://p.scdn.co/mp3-preview/9cd01344e96f8dfaf0fb47fbb36d9da930daab2f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e52a59a28efa4773dd2bfe1b
61,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",85,137,"glam rock, mellow gold, piano rock, rock","Rock","Honky Chateau",1972-05-19,04:41,60,53,43,0,34,0,0,-9,A#/B♭ Major,4,2024-01-18,3gdewACMIVMEWVbyb8O9sY,"EMI",6B,,https://i.scdn.co/image/ab67616d000048513009007708ab5134936a58b3
62,"Paint It, Black","The Rolling Stones",86,159,"album rock, british invasion, classic rock, rock","Rock","Aftermath",1966-04-15,03:22,46,80,5,0,61,0,40,-9,C♯/D♭ Major,4,2024-01-18,63T7DJ1AFDD6Bn8VzG6JE8,"ABKCO Music and Records, Inc.",3B,,https://i.scdn.co/image/ab67616d00004851bad7062c3fd2f2d037989694
